config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson
0,1,0.014907263584581077,0.09440642,0.12234296,0.8810771166353191,0.022346339266126353,0.11818712,0.1505016,0.874509992148727
0,2,0.00725871353985413,0.06563913,0.0852887,0.9418658152277414,0.02178466591673593,0.11543416,0.14928176,0.8804765295821158
0,3,0.004371289935364735,0.05118397,0.06611723,0.9648860754306146,0.02254635514691472,0.119611345,0.1513064,0.8700346557729273
0,4,0.0032409653832277687,0.04382209,0.057101615,0.9738728461996935,0.025172800989821553,0.124775186,0.16075672,0.8624749921663717
0,5,0.0022964636189178288,0.036850408,0.048040576,0.9815383624146682,0.025094010479127366,0.1265381,0.15940973,0.867342328553835
0,6,0.002174630916652306,0.035380144,0.046669167,0.9826560731329241,0.02475841366685927,0.11842071,0.15990631,0.856604999097523
0,7,0.0018291293658608885,0.033171885,0.042951267,0.9853338088177749,0.026636413143326838,0.12279915,0.1651931,0.8461072380829255
1,1,0.010521970875866255,0.07553052,0.102763936,0.9334198651927723,0.028395587267975014,0.13650255,0.16787682,0.871044561686906
1,2,0.004243967435687453,0.04817786,0.065269254,0.973374405004427,0.02813088447631647,0.1216626,0.16847098,0.8332851932618429
1,3,0.002762530124329405,0.03923631,0.052371837,0.9829135358420953,0.028490252521199484,0.12479931,0.17004193,0.8396647849672325
1,4,0.002210954845248514,0.03510404,0.046694357,0.9864267459445069,0.030035486134390037,0.13239706,0.17440113,0.84600734214351
1,5,0.0018750560982356164,0.0319435,0.0429561,0.9885329561151184,0.032303785206750035,0.12939498,0.18245795,0.813715732744405
1,6,0.0015525530609932594,0.029926062,0.03937533,0.9903712413954385,0.03737508202902973,0.13986887,0.19504343,0.803983750283022
1,7,0.0013775017262969214,0.02749954,0.03718506,0.9914105503455167,0.03719149809330702,0.14376515,0.19439946,0.8150252802831349
