config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson
0,1,0.016189605738036336,0.09753464,0.12734435,0.872269958374696,0.010008052851145085,0.07661904,0.10113968,0.9253732094752369
0,2,0.006885339638683945,0.06389096,0.08312371,0.9446544850949542,0.011605602581627093,0.083427235,0.10760523,0.9247333193963142
0,3,0.003980655971681699,0.049155846,0.06314123,0.9682582566551167,0.009792411449150397,0.0755364,0.098495826,0.9303027091532915
0,4,0.002594309326086659,0.03971498,0.051093623,0.9792459327191482,0.010291671022199668,0.07991822,0.10224072,0.9243868992303912
0,5,0.002257360926596448,0.036944967,0.047436144,0.9821599669915828,0.009563645168852348,0.075498916,0.09872285,0.9306198517137171
0,6,0.0020318481570575386,0.035060465,0.045191605,0.9838532774287851,0.009528823232708069,0.07879958,0.09836327,0.9310723253750293
0,7,0.0019421773892827332,0.033292416,0.043837357,0.9847802442423245,0.01049538368645769,0.0802548,0.10351841,0.924022434845208
0,8,0.0018580823531374336,0.032854356,0.043084815,0.985330378911458,0.009004220294837769,0.07413027,0.095713995,0.9339544197637812
0,9,0.001746387665043585,0.031233594,0.041845262,0.9861192044457902,0.010130675061820792,0.08042346,0.10159418,0.9260444618589008
0,10,0.0015228928579017519,0.030033078,0.039041754,0.987969146809752,0.010064300400419878,0.07908357,0.10154097,0.9254285363829624
0,11,0.0012252792887738906,0.026997939,0.03500106,0.9903126329580414,0.009376332235450927,0.076556414,0.09775801,0.9303985479050055
0,12,0.00139049930148758,0.028086187,0.036939625,0.9892315817835902,0.01048028551471921,0.0808891,0.10326002,0.9237726889835297
0,13,0.0013016396266175435,0.026993452,0.03610605,0.9897425050677691,0.010112791537092282,0.07924018,0.101566374,0.9267843628179472
1,1,0.010786623567139778,0.07656145,0.10396344,0.9341445946253758,0.011839247237031277,0.08476636,0.110034384,0.916332913645386
1,2,0.004187164318242357,0.047580678,0.06467983,0.9748746948695173,0.009955599116018185,0.08141212,0.10031203,0.9289537235574298
1,3,0.0026243860782601703,0.038399804,0.051253065,0.9842526615733578,0.01093288528947876,0.0825287,0.10525537,0.9210499088261148
1,4,0.0020194541131599974,0.034049556,0.04495708,0.987889206172139,0.013295654583579073,0.08999589,0.11587482,0.9037126498447382
1,5,0.001666549258889296,0.03116931,0.04083974,0.9900332408687686,0.01103178017701094,0.08243792,0.10584581,0.9196606176296053
1,6,0.0015084856390280442,0.029177018,0.038829274,0.9909830614585053,0.010136736897178568,0.07795377,0.10145521,0.9256557842262216
1,7,0.0012680806476910375,0.02670182,0.035645034,0.9924049762097813,0.010822029820141884,0.08379774,0.1043287,0.9209751204990565
