config_id,model_type,model_name,pooling_type,epochs,dropout
1,sbert,sentence-transformers/distiluse-base-multilingual-cased-v2,cls,7,0.1
3,bert,indobenchmark/indobert-lite-base-p2,attention,11,0.1
10,bert,indobenchmark/indobert-lite-base-p2,attention,11,0.3
