config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson
0,1,0.010521971271373332,0.07553053,0.102763936,0.9334198632543824,0.028395577799528837,0.13650253,0.1678768,0.8710445703285239
0,2,0.004243966907259117,0.04817786,0.065269254,0.9733744082931512,0.028130885407639045,0.121662624,0.168471,0.8332852059741556
0,3,0.002762529251214491,0.039236307,0.052371833,0.982913539723654,0.028490247398925323,0.12479931,0.17004192,0.83966484283408
0,4,0.0022109538925746577,0.035104036,0.046694346,0.9864267553915512,0.0300354950207596,0.1323971,0.17440118,0.8460074043585825
0,5,0.0018750549631862286,0.03194348,0.042956095,0.9885329572266828,0.032303881676246725,0.12939516,0.18245822,0.81371557824707
0,6,0.001552550878714339,0.029926006,0.039375305,0.9903712544318066,0.03737507729480664,0.13986832,0.19504337,0.8039826687048589
0,7,0.0013775021898095772,0.027499571,0.03718507,0.9914105477649641,0.03719126797902087,0.14376438,0.19439887,0.8150252652178975
1,1,0.011190353867198305,0.07855972,0.10598118,0.9284869261208152,0.02514262543991208,0.1297649,0.15940274,0.883956564968472
1,2,0.0048854114812103356,0.0522732,0.06987613,0.9694377286074566,0.02320362689594428,0.108619295,0.15455323,0.8569043387729591
1,3,0.003368470625134437,0.043901995,0.05797596,0.9790468077503662,0.026976400520652533,0.119156994,0.16679998,0.8486894879103861
1,4,0.0027237069221390372,0.039486587,0.05217494,0.983047257526573,0.028353408405867715,0.1194741,0.17102425,0.8311960307842472
1,5,0.002175572392577509,0.035639647,0.046519913,0.9865402584735994,0.029522741911932826,0.120032854,0.17508395,0.8193375692167846
1,6,0.0020135988225381592,0.034347795,0.0449368,0.9874634806753768,0.03313270451811453,0.1265016,0.18446618,0.8014775320744592
1,7,0.0016925493708972344,0.031040562,0.040972207,0.9895670719001302,0.03468473309961458,0.12477447,0.1891667,0.7896239308320064
2,1,0.010424324715211092,0.07607426,0.10228163,0.9328842221866065,0.02102384304938217,0.11735746,0.1443356,0.8927038035470252
2,2,0.004457767547502723,0.050238512,0.06671607,0.9719912944244758,0.020846493580999475,0.11072077,0.14456107,0.8725226549233429
2,3,0.0029599818908894134,0.04101492,0.05427653,0.9815587981333135,0.025155598220104974,0.12240011,0.15844768,0.8686630329890517
2,4,0.002371817580414082,0.036713406,0.04873592,0.9851830258584966,0.026660817830512922,0.13031109,0.16162275,0.8781941157029757
2,5,0.0018120466751314894,0.032538623,0.04262628,0.9886689534944367,0.029478294697279733,0.1344428,0.1703094,0.8595959039527085
2,6,0.0016815167623999076,0.031439975,0.04097498,0.9895409573781236,0.028847042471170425,0.13310692,0.16923325,0.8428599629762039
2,7,0.0015452040436140803,0.029637715,0.03923494,0.9904248015596214,0.030902379813293617,0.13604449,0.17493366,0.8446294877741831
3,1,0.011639111273587523,0.07994363,0.108084194,0.9256490873585183,0.026563860786457855,0.1292016,0.16326289,0.8715900092124563
3,2,0.005005364349482003,0.052709185,0.070726745,0.968710762273051,0.02871530766909321,0.12283916,0.17087859,0.828751432965001
3,3,0.003110924842675912,0.041532133,0.055355445,0.9809421117550421,0.030010223543892305,0.12225092,0.17521442,0.8232137075894567
3,4,0.0022577581765520585,0.035810713,0.047451288,0.9859713120338126,0.02960579019660751,0.12899643,0.17320934,0.8412472999804267
3,5,0.0016450888182923166,0.03081675,0.04053836,0.9897751766352703,0.02999432074526946,0.122941405,0.17507114,0.8277816760834887
3,6,0.0014164702297421172,0.028415645,0.0376981,0.991180145785179,0.03371140624706944,0.13310705,0.18469717,0.8201665320281875
