config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson
0,1,0.03342222596756091,0.14401297,0.18337432,0.7300766523226712,0.01878362932863335,0.114691496,0.13984504,0.9026054190681111
0,2,0.026440560625975624,0.12898886,0.16287126,0.7968830046773332,0.016574756339347612,0.10023957,0.13162604,0.8972605362505381
0,3,0.018932922359775093,0.108479746,0.13799891,0.8549818314766385,0.024932819108168285,0.123414785,0.16081308,0.9077492628126865
0,4,0.012501339722018433,0.08775961,0.11228483,0.8993441756968481,0.020758392677331965,0.112211,0.14676195,0.9180536843791954
0,5,0.0077733699204948015,0.069513224,0.08807311,0.9367243262317321,0.02111633075401187,0.11564579,0.14747454,0.9074124813374392
0,6,0.007336732807030499,0.06828231,0.08599485,0.9406467673377498,0.017391556408256292,0.10613442,0.13427985,0.9141182765469318
0,7,0.006306417386832775,0.06258598,0.079543695,0.9487105452764532,0.01515473221661523,0.09529905,0.12563688,0.914816297149595
0,8,0.0051059499793850325,0.0563911,0.07163408,0.9587728055160829,0.016087950478928786,0.101072125,0.13006906,0.9106780780742886
0,9,0.004476633316645508,0.052122716,0.06580838,0.9651858389482465,0.015962202160153538,0.10117149,0.12958401,0.9049580335278816
0,10,0.0047859034190575285,0.054301668,0.06942683,0.9610998203300385,0.01851391716627404,0.10528929,0.13935092,0.9062289676385307
0,11,0.0032957177860297115,0.04524774,0.057391115,0.9736390703644574,0.01762204070109874,0.10458288,0.13615935,0.9075358685266349
0,12,0.0036798780042148543,0.04750255,0.060726475,0.9704835253109687,0.01703118105069734,0.10134,0.13383776,0.90067790133852
1,1,0.02257043415881401,0.11333033,0.15071078,0.8092393818219941,0.020140652738822002,0.11536343,0.1451402,0.9075695512420426
1,2,0.01136275636392883,0.083332695,0.10700908,0.9055596468495134,0.018694615418401856,0.114499085,0.13949619,0.9082642072503546
1,3,0.010803333029388358,0.08250595,0.10360722,0.9120278750794203,0.01775088980017851,0.10797857,0.13631642,0.9082774122711719
